store_id;store_name;store_address;store_location;description
1;Омега;город Москва, улица Новаторов, дом 4, корпус 8;[55.665135883,37.516913389];в центре села, напротив церкви
2;Гамма;город Москва, Лазоревый проезд, дом 15, строение 4;[55.8538123,37.631289912];
3;Сигма;город Москва, улица Демьяна Бедного, дом 8;[55.772185093,37.488024823];
4;Альфа;город Москва, Гвардейская улица, дом 15, корпус 2;[55.724743484,37.422065222];
5;Эта;город Москва, улица Вилиса Лациса, дом 23, корпус 2;[55.862016728,37.422337259];
6;Дельта;город Москва, микрорайон Северное Чертаново, дом 5, корпус Г;[55.63799676,37.590931324];Удобнее добираться на автомобиле.
7;Эпсилон;город Москва, Ореховый проезд, дом 17, корпус 2;[55.623839092,37.734113107];
8;Йота;город Москва, улица Газопровод, дом 9А;[55.591001279,37.606876613];
9;Дзета;город Москва, Рязанский проспект, дом 2, строение 24;[55.730702846,37.735875581];
10;Каппа;город Москва, улица Стромынка, дом 6;[55.7912397,37.687272174];
11;Тау;город Москва, Флотская улица, дом 25;[55.86161123,37.51313997];
12;Бета;город Москва, Долгоруковская улица, дом 23, строение 1;[55.775754162,37.602958792];